GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
insurance-system,util,LoggerUtil,31,0,0,0,13,0,8,0,8,0
insurance-system,service,ClaimService,61,371,10,22,19,86,10,16,0,10
insurance-system,service,ContractService,260,827,27,35,72,196,27,35,2,28
insurance-system,service,FileService,175,512,14,20,49,99,15,16,4,10
insurance-system,service,ContractProcessor,1,129,2,16,0,28,2,14,0,6
insurance-system,model,Contract.RiskLevel,0,27,0,0,0,2,0,1,0,1
insurance-system,model,Customer,12,115,1,1,6,33,1,15,0,15
insurance-system,model,Contract,10,128,1,1,4,35,1,19,0,19
insurance-system,model,CompanyAgent,0,44,0,0,0,13,0,9,0,9
insurance-system,model,Claim,12,130,1,1,6,38,1,20,0,20
insurance-system,model,Derivative,0,83,0,2,0,23,0,13,0,12
